2015,V01,402,"Togus, ME",1,4,3
2015,V01,402,Togus VAMC,0,5,4
2015,V01,402GA,Aroostook County Caribou,0,9,0.00
2015,V01,402GB,Calais,1,6,0.00
2015,V01,402GC,Rumford,0,1,0.00
2015,V01,402GD,Saco,0,5,8
2015,V01,402GE,Lewiston,0,1,4
2015,V01,402GF,Lincoln,0,,
2015,V01,402HB,Bangor,0,4,2
2015,V01,402HC,Portland Outreach Clinic-CDRP Satellite South,0,5,3
2015,V01,402HL,Bingham VA Mobile Clinic,0,11,
2015,V01,405,"White River Junction, VT",2,3,3
2015,V01,405,White River Jct VAMC,1,4,3
2015,V01,405GA,Bennington,0,1,0
2015,V01,405GC,Brattleboro,0,3,6
2015,V01,405HA,Burlington Lakeside,0,4,4
2015,V01,405HC,VICC - St. Johnsbury - Littleton,1,3,3.10
2015,V01,405HE,KEENE ORC,0,7,0.00
2015,V01,405HF,Rutland,0,1,1
2015,V01,518,"Bedford, MA",1,1,6
2015,V01,518,Edith Nourse Rogers VAMC,1,1,6
2015,V01,518GA,Lynn,0,1,0
2015,V01,518GB,Haverhill,0,0,9
2015,V01,518GE,Gloucester,0,1,
2015,V01,523,"VA Boston HCS, MA",13,2,4
2015,V01,523,Jamaica Plain VAMC,9,2,5
2015,V01,523A4,West Roxbury VAMC,2,3.60,3
2015,V01,523A5,Brockton VAMC,2,0,5
2015,V01,523BY,Lowell,0,5,4.00
2015,V01,523BZ,Causeway,0,0,1
2015,V01,523GA,Framingham,0,1,3.50
2015,V01,523GC,Quincy,0,2,
2015,V01,523GD,Plymouth,0,9.90,12
2015,V01,523MA,IDES Hanscom AFB,0,,1.00
2015,V01,608,"Manchester, NH",1,5.90,4.00
2015,V01,608,Manchester VAMC,1,6,4
2015,V01,608GA,Portsmouth,0,6,3.40
2015,V01,608GC,Somersworth,0,8,8
2015,V01,608GD,Conway,0,4,3
2015,V01,608HA,Tilton,0,3,8.40
2015,V01,608MA,IDES Manchester VAMC,0,,2
2015,V01,631,VA Central Western Massachusetts HCS,3,8,5.40
2015,V01,631,Edward P Boland VAMC,1,9,5
