facility,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
"(V01) (402) Togus, ME",,"22,908","22,443",,,97.97%,465,2.03%,"20,075",,"1,333","1,035",401,61,3,0,6,3,2,
(V01) (402) Togus VAMC,,"13,424","13,169",,,98.10%,255,1.90%,"11,930",,751,488,202,50,3,0,7,3,3,
"(V01) (402GA) Aroostook County
(Caribou)",,606,563,,,92.90%,43,7.10%,444,,50,69,40,3,0,0,11,0.00,3,
(V01) (402GB) Calais,,221,221,,,100.00%,0,0.00%,201,,12,8,0,0,0,0,2.50,0.00,0.00,
(V01) (402GC) Rumford,,339,339,,,100.00%,0,0.00%,334,,5,0,0,0,0,0,1,1,1,
(V01) (402GD) Saco,,"1,162","1,126",,,96.90%,36,3.10%,965,,80,81,36,0,0,0,7,0.00,3,
(V01) (402GE) Lewiston,,"1,519","1,492",,,98.22%,27,1.78%,"1,256",,143,93,26,1,0,0,5,3,2.90,
(V01) (402GF) Lincoln,,225,225,,,100.00%,0,0.00%,203,,10,12,0,0,0,0,2,0.00,1,
(V01) (402HB) Bangor,,"3,827","3,755",,,98.12%,72,1.88%,"3,351",,201,203,72,0,0,0,3.60,5,1,
"(V01) (402HC) Portland Outreach
Clinic-CDRP Satellite South",,"1,488","1,469",,,98.72%,19,1.28%,"1,327",,69,73,19,0,0,0,5,4,1,
"(V01) (402HL) Bingham VA Mobile
Clinic",,56,56,,,100.00%,0,0.00%,46,,7,3,0,0,0,0,5,,,
(V01) (402QA) Fort Kent,,17,7,,,41.18%,10,58.82%,5,,0,2,3,7,0,0,43,,,
(V01) (402QB) Houlton,,24,21,,,87.50%,3,12.50%,13,,5,3,3,0,0,0,11,,,
"(V01) (405) White River Junction, VT",,"18,196","17,846",,,98.08%,350,1.92%,"16,098",,976,772,265,39,15,31,4,4,1,
(V01) (405) White River Jct VAMC,,"13,178","12,927",,,98.10%,251,1.90%,"11,658",,718,551,190,21,9,31,3,5,1,
(V01) (405GA) Bennington,,799,799,,,100.00%,0,0.00%,765,,28,6,0,0,0,0,1,0,1,
(V01) (405GC) Brattleboro,,271,270,,,99.63%,1,0.37%,251,,16,3,1,0,0,0,3,0.00,0,
(V01) (405HA) Burlington Lakeside,,"2,369","2,278",,,96.16%,91,3.84%,"2,007",,125,146,68,17,6,0,6,6,0,
"(V01) (405HC) VICC - St. Johnsbury -
Littleton",,702,701,,,99.86%,1,0.14%,662,,25,14,1,0,0,0,1.90,1,1,
(V01) (405HE) KEENE (ORC),,295,289,,,97.97%,6,2.03%,234,,17,38,5,1,0,0,7,0.00,2,
(V01) (405HF) Rutland,,582,582,,,100.00%,0,0.00%,521,,47,14,0,0,0,0,3,1,1,
"(V01) (518) Bedford, MA",,"10,734","10,395",,,96.84%,339,3.16%,"9,551",,458,386,203,96,23,17,1,11,1,
"(V01) (518) Edith Nourse Rogers
VAMC",,"9,356","9,018",,,96.39%,338,3.61%,"8,204",,439,375,202,96,23,17,1,10.70,1,
(V01) (518GA) Lynn,,508,507,,,99.80%,1,0.20%,501,,2,4,1,0,0,0,0,3,1,
(V01) (518GB) Haverhill,,566,566,,,100.00%,0,0.00%,549,,11,6,0,0,0,0,0.50,3,2,
(V01) (518GE) Gloucester,,304,304,,,100.00%,0,0.00%,297,,6,1,0,0,0,0,0,6.20,0,
"(V01) (523) VA Boston HCS, MA",,"41,291","40,256",,,97.49%,"1,035",2.51%,"35,336",,"2,626","2,294",835,160,27,13,7,5,2,
(V01) (523) Jamaica Plain VAMC,,"16,989","16,532",,,97.31%,457,2.69%,"14,206",,"1,262","1,064",379,60,14,4,6,5,2,
(V01) (523A4) West Roxbury VAMC,,"7,023","6,851",,,97.55%,172,2.45%,"5,940",,448,463,144,22,3,3,10.10,4,1,
(V01) (523A5) Brockton VAMC,,"11,148","10,826",,,97.11%,322,2.89%,"9,712",,612,502,242,67,8,5,7,7,2,
(V01) (523BY) Lowell,,"1,526","1,485",,,97.31%,41,2.69%,"1,226",,145,114,33,6,1,1,6,5.80,6,
(V01) (523BZ) Causeway,,"3,797","3,761",,,99.05%,36,0.95%,"3,595",,89,77,31,4,1,0,6,3,2,
