facility,Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(1V01) (402) Togus, ME HCS","22,088","19,240",87.11%,"2,848",12.89%,"16,249","1,400","1,591","1,272",561,289,726,14.91,23.08,6.19,,,
"(1V01) (402) Togus, ME","13,546","11,797",87.09%,"1,749",12.91%,"9,866",888,"1,043",814,333,180,422,8.46,21.68,2.85,,,
"(1V01) (402GA) Caribou, ME",576,568,98.61%,8,1.39%,479,39,50,5,2,0,1,3.92,3.40,6.12,,,
"(1V01) (402GB) Calais, ME",139,135,97.12%,4,2.88%,119,8,8,1,0,0,3,8.17,0.00,0.00,,,
"(1V01) (402GC) Rumford, ME",358,349,97.49%,9,2.51%,333,9,7,1,5,1,2,3.95,0.00,0.93,,,
"(1V01) (402GD) Saco, ME",955,790,82.72%,165,17.28%,654,67,69,60,65,16,24,26.43,,7.05,,,
"(1V01) (402GE) Lewiston, ME","1,542","1,275",82.68%,267,17.32%,"1,124",80,71,84,38,33,112,27.19,38.46,8.52,,,
"(1V01) (402GF) Lincoln, ME",210,135,64.29%,75,35.71%,113,13,9,50,22,3,0,21.54,0.00,4.50,,,
"(1V01) (402HB) Bangor, ME","3,183","2,797",87.87%,386,12.13%,"2,421",188,188,159,56,45,126,16.00,28.28,8.03,,,
"(1V01) (402HC) Portland, ME","1,569","1,385",88.27%,184,11.73%,"1,131",108,146,97,40,11,36,15.02,11.68,10.56,,,
"(1V01) (402QA) Fort Kent, ME",10,9,90.00%,1,10.00%,9,0,0,1,0,0,0,,,,,,
"(1V01) (405) White River Junction, VT HCS","14,425","13,040",90.40%,"1,385",9.60%,"11,501",663,876,713,261,169,242,8.28,16.03,0.88,,,
"(1V01) (405) White River Junction, VT","9,903","8,911",89.98%,992,10.02%,"7,810",475,626,500,171,125,196,8.30,15.31,1.04,,,
"(1V01) (405GA) Bennington, VT",596,578,96.98%,18,3.02%,538,22,18,15,0,2,1,3.10,0.03,0.41,,,
"(1V01) (405GC) Brattleboro, VT",250,242,96.80%,8,3.20%,236,4,2,2,4,2,0,0.59,9.74,0.27,,,
"(1V01) (405HA) Burlington Lakeside, VT","1,917","1,718",89.62%,199,10.38%,"1,491",97,130,117,37,20,25,11.14,19.91,0.71,,,
"(1V01) (405HC) Littleton, NH",656,546,83.23%,110,16.77%,464,30,52,46,31,16,17,14.67,27.99,1.73,,,
"(1V01) (405HE) Keene, NH",323,305,94.43%,18,5.57%,285,11,9,7,11,0,0,3.45,23.00,0.04,,,
"(1V01) (405HF) Rutland, VT",474,440,92.83%,34,7.17%,389,17,34,21,6,4,3,3.26,21.58,0.68,,,
"(1V01) (405QB) Newport, VT",306,300,98.04%,6,1.96%,288,7,5,5,1,0,0,2.98,1.11,0.00,,,
"(1V01) (518) Bedford, MA HCS","9,698","8,965",92.44%,733,7.56%,"8,165",390,410,298,92,47,296,13.17,22.73,4.22,,,
"(1V01) (518GA) Lynn, MA",26,25,96.15%,1,3.85%,8,8,9,1,0,0,0,16.38,22.99,3.59,,,
"(1V01) (518) Bedford, MA (Edith Nourse Rogers)","8,746","8,083",92.42%,663,7.58%,"7,390",330,363,256,83,41,283,16.38,22.99,3.59,,,
"(1V01) (518GA) Lynn, MA",328,304,92.68%,24,7.32%,265,26,13,15,2,0,7,4.44,9.87,50.21,,,
"(1V01) (518GB) Haverhill, MA",280,259,92.50%,21,7.50%,232,11,16,12,0,5,4,9.13,3.64,0.00,,,
"(1V01) (518GE) Gloucester, MA",318,294,92.45%,24,7.55%,270,15,9,14,7,1,2,9.09,10.03,11.42,,,
"(1V01) (523) Boston, MA HCS","36,234","33,932",93.65%,"2,302",6.35%,"29,561","2,044","2,327","1,310",422,188,382,6.81,11.09,1.63,,,
"(1V01) (523) Jamaica Plain, MA","17,009","15,816",92.99%,"1,193",7.01%,"13,600","1,011","1,205",677,214,87,215,5.80,11.36,1.62,,,
"(1V01) (523A4) West Roxbury, MA","5,678","5,198",91.55%,480,8.45%,"4,532",319,347,246,85,51,98,11.00,9.93,0.00,,,
"(1V01) (523) Jamaica Plain, MA",79,79,100.00%,0,0.00%,79,0,0,0,0,0,0,5.16,9.86,1.75,,,
"(1V01) (523A5) Brockton, MA","9,344","8,997",96.29%,347,3.71%,"7,957",504,536,218,72,22,35,5.16,9.86,1.75,,,
"(1V01) (523BY) Lowell, MA","2,091","1,849",88.43%,242,11.57%,"1,576",122,151,148,42,22,30,8.22,15.67,0.15,,,
"(1V01) (523BZ) Causeway, MA","1,202","1,172",97.50%,30,2.50%,"1,112",32,28,12,9,5,4,9.68,3.83,2.95,,,
